,dma_name,median_income,poverty_rate,bach_plus_rate,grad_prof_rate,population,dma_race_total,pct_hispanic,pct_nh_white,pct_nh_black,pct_nh_aian,pct_nh_asian,pct_nh_nhpi,pct_nh_sor,pct_nh_two_plus,search_interest,score_all_ela,score_all_math,score_all_ela_g5,score_all_ela_g6,score_all_ela_g7,score_all_ela_g8,score_all_math_g3,score_all_math_g4,score_all_math_g5,score_all_math_g6,score_all_ela_g3,score_all_ela_g4,score_all_math_g7,score_all_math_g8,cluster_id
0,Abilene-Sweetwater TX,49829.71685378198,14.861864400954127,20.185203283815483,6.430316653635653,313354.0,313354.0,25.408643259699893,65.13304441621935,6.056728173248147,0.3532745712516834,1.1826879503692311,0.0127651154923824,0.1353102242192536,1.7175462895000542,34.6457306140744,5.486706732436622,4.391369213994505,4.056056485632976,5.103334114201924,6.018850760995869,6.797618631218852,3.0789981919077496,3.832349411259975,4.722895149834276,5.893327570400331,,,,,0
1,Albany GA,41566.26625965794,24.69877213785717,15.674556978398654,6.582404789622484,410802.0,410802.0,7.486088188470358,51.21128913685912,38.897571092643176,0.1991226917103617,0.98660668643288,0.027020316356785,0.0808175227968705,1.111484364730454,52.27528213170008,4.480911009628465,4.6038869098144986,4.029433426382895,4.838777807419278,6.032529474813909,6.9669320692230405,2.5978061457605865,3.2390504898260963,4.31003107071956,4.764190574916914,2.187345276171366,3.113503904093999,5.828063169103756,7.09843706066766,4
2,Albany-Schenectady-Troy NY,66079.48563101086,10.996811660043344,33.69874652594727,15.15337015104132,1384057.0,1384057.0,5.047263226875772,83.15083844090236,5.533587128275786,0.1666838865740356,3.1845509252870365,0.0335968822093309,0.4121217551011266,2.4713577547745507,15.402705140823876,5.8317185542398144,5.528083217772354,5.396182115863754,5.738992814602127,7.131027434676859,8.12935157435811,2.991959672670721,3.683812273712374,5.10211196836557,5.858105073764643,3.618676521141607,4.530583381619173,7.069253957874817,7.9440258635604195,2
3,Albuquerque-Santa Fe NM,51503.275100142935,18.484041579258506,27.6727566830234,12.120732009101827,1948465.0,1948465.0,43.8180311168022,38.966879056077474,1.6425237302184026,12.281257297411038,1.443289974415758,0.0513737737141801,0.1798851916765248,1.6167598596844184,23.07865633940128,3.5544460016473565,3.133941140406202,3.278603264981949,4.849165813746177,4.678661201506519,5.148732100406566,1.4498832444580807,2.363316207959233,2.985258185519996,4.557656750042903,1.4282489764850752,2.636357256845856,4.582964593129145,,1
4,Alexandria LA,45760.643205746535,19.79788420883562,17.54414324794827,6.197463317582691,243625.0,243625.0,4.37188301693176,65.060236018471,25.74120061570036,0.7909697280656747,1.1706516162134428,0.12108773730118,0.125192406362237,2.618778860954336,79.6943907156673,4.830525045571051,4.569275710334119,4.1193017605953735,5.442526820282581,6.4513001218810215,7.375814808333505,1.792745838356547,2.8109556350952563,3.731247554051386,5.230512958309504,1.8030194061441505,3.0437099494557462,6.185660626958082,6.944553598489596,4
5,Alpena MI,42596.239343503206,15.020279994766453,17.695237453234014,6.316357140449627,38873.0,38873.0,1.4097188279782882,95.72968384225555,0.5273583206853086,0.4193141769351478,0.5042060041674169,0.1131891029763589,0.0102899184523962,1.286239806549533,,4.925941116711572,4.739361246316298,4.533225243994184,5.534518255764325,6.345135766798148,7.408323019560501,2.3240077284652547,2.7167584165293683,4.097070184061684,4.937867948747511,2.5614763753736924,3.247839107056655,6.331823005099195,7.694512391433378,0
6,Amarillo TX,52347.55040486274,15.642370923512273,20.73127816322152,6.146913668550176,546852.0,546852.0,36.01248601084023,54.61569126564408,4.361692011732608,0.5674295787525693,2.293673608215751,0.1824991039623152,0.0782661487934578,1.888262272058985,97.6076845298281,5.615995970766334,4.859759437168632,4.425302109843506,5.304916934077441,6.117110192263361,7.005147354068405,3.37729432909504,4.270658399556871,5.33567194503428,6.165347644367514,2.6345918353274587,3.586161069139982,6.0251067036059,6.90473439916471,1
7,Anchorage AK,77865.33129186278,10.766227122289388,29.165606517709247,11.039396000685418,587485.0,587485.0,7.015838702264738,59.98927632194865,3.1027175161919027,14.215852319633694,6.750470224771696,1.3916951071091177,0.259921529911402,7.274228278168804,83.35480943738656,5.485537606045449,,,,,,,,,,,,,,2
8,Atlanta GA,66808.08192187361,12.876077570039293,36.380678335118574,13.950286548265986,6924805.0,6924805.0,10.900205854172066,50.81304094483527,30.418257265006016,0.1658674865212811,5.182543046338489,0.0362898305439647,0.3655987424916658,2.1181968300912444,16.436070401552087,5.541245825512692,5.470445814101527,5.064490171289277,6.080774398723401,7.016279153907708,7.951271362331188,2.917391973191488,3.974316376174321,4.90896418696567,6.03068948878018,3.0679847959064106,4.112262151748168,7.027614277662454,7.932389147716853,2
9,Augusta GA,52044.79006501662,17.71057944246381,23.56167078583988,8.781831372115041,720585.0,720585.0,5.12750057245155,53.40563569877253,37.0458724508559,0.2019192739232706,1.5834356807316277,0.1094943691583921,0.324458599610039,2.2016833544966934,29.926729626761063,4.684666442838703,4.525155887702252,4.290043679229561,5.018572263518058,6.077235191677372,7.22104004678334,2.271309986251266,3.316849451670452,4.395880451429993,4.870725188094912,2.399843478038056,3.250006625738764,5.781926338167581,6.6943031359916265,4
10,Austin TX,75969.21702215908,10.77566686444287,43.32963299842463,15.310277669287045,2266340.0,2266340.0,31.62195434047848,53.583442907948495,6.662592550102808,0.1892037381857973,5.460610499748493,0.0366670490747195,0.1708040276392774,2.2747248868219243,11.59514977949247,6.230397008344688,4.836497549435846,4.932206519381312,5.757239330127807,6.5612143684796544,7.7391467883317215,3.5472291221197403,4.417284207651269,5.2974666773032695,6.081270576592623,,,,,2
11,Bakersfield CA,53350.0,20.99761417263124,16.38046928313366,5.41577801371888,887641.0,887641.0,53.32944287161139,34.16076995091484,5.155349966934831,0.4847680537514603,4.588566774180102,0.1256138461382473,0.0983505719091389,2.0571379645599968,22.82826491869045,4.38833654982052,3.977382377219929,3.771823473952226,4.831143316498905,5.875366953208562,6.854911981434576,1.779262185801462,2.575109482680661,3.379988675930372,4.535727328764899,2.070623760689795,2.929901408787895,5.292671628406053,6.323471424367586,1
12,Baltimore MD,82894.50059734959,10.09423678763068,39.49061480855176,17.498103635704794,2989037.0,2989037.0,5.797920868828322,58.13989589289126,27.591194086924983,0.1986258450464146,5.2459036137725965,0.0333217688506365,0.2880526403654421,2.7050852833203467,16.241820969373038,5.240752140618392,4.282483414224667,4.8472101072237255,5.702871571157881,6.697428543463053,7.690024144029289,2.805626595000549,3.770680478023792,4.784561889290986,5.728551352400973,2.868332876163686,3.80301790949764,,,2
13,Bangor ME,49637.00858275733,15.405583710678622,26.5247906177718,9.732950871053871,344761.0,344761.0,1.4453490969106135,93.96248415569046,0.7013554317338678,1.1892296402435312,0.7947534668944573,0.0411879533938003,0.1392268847114378,1.7264133704218283,32.703930412371136,5.624594626876415,5.543387930258808,5.0780378446185965,6.020137893853017,7.080459775764129,8.044662159958975,3.000111110566736,3.829632554390516,4.861434231375691,5.928115919820574,3.023339822849941,3.99905683648015,7.001713213466155,8.123212245526755,0
14,Baton Rouge LA,57693.56361668212,16.3861937648688,26.276022350788708,9.172064810694094,926573.0,926573.0,4.089478109118224,56.49884035040952,35.31119512439926,0.2334408621878686,1.869361615328744,0.0300030326806414,0.1167743933829282,1.8509065124928088,20.44675147245764,5.014379621760288,4.808145274797027,4.6004640071169645,5.608172874258621,6.611219924411526,7.722801681617047,2.285646749064792,3.2522270618521985,4.310714286266677,5.396531636871557,2.3883592959051425,3.426771573796352,6.326535231824263,7.548665994076287,4
15,Beaumont-Port Arthur TX,52656.93045019223,16.365046477390322,17.43063179558745,5.124076984383552,466112.0,466112.0,14.361355210764795,58.74532301249486,22.85459288754634,0.2188315254702732,2.388052656872168,0.0330392695317863,0.1128484141150624,1.2859570232047233,53.55720823798626,5.132861580436985,3.933241689418308,3.787676462474815,4.7723081130674405,5.675377377275305,6.394670619322326,2.7464123524467707,3.6551433332745695,4.139171169238824,5.196944921411484,,,,,4
16,Bend OR,67043.0,10.786934288043977,35.389153117280536,12.939571581314752,186251.0,186251.0,7.974722283370291,87.25107516201255,0.5809364781934057,0.5524802551395697,1.0759673773563632,0.1594622310752693,0.0676506434864779,2.3377055693660704,78.1253244345569,4.049852859982574,3.799586836700556,,,,,3.799586836700556,,,,4.049852859982574,,,,0
